name,ring,quadrant,isNew,description
All Java Versions Prior Java 11,hold,platforms,FALSE,
LDAP,hold,platforms,FALSE,
CAS (Central Authentication Service) for SSO,hold,platforms,FALSE,
TDD,adopt,techniques,FALSE,
Multi-tenant Products,adopt,techniques,FALSE,
Blue / Green Deployments,adopt,techniques,FALSE,
Continuous Deployment,adopt,techniques,FALSE,Formerly CI/CD - making it more explicit
Contract Based Testing,adopt,techniques,FALSE,
Logging Standardization,adopt,techniques,FALSE,
Scrum,adopt,techniques,FALSE,
Kanban,adopt,techniques,FALSE,
Code Review,adopt,techniques,FALSE,
Evolutionary Architecture,adopt,techniques,FALSE,
Emergent Design,adopt,techniques,FALSE,
REST,adopt,techniques,FALSE,
Mobile First,adopt,techniques,FALSE,
API First,adopt,techniques,FALSE,"<a target=""_blank"" href=""https://dzone.com/articles/an-api-first-development-approach-1"">DZone Article</a><br/><a target=""_blank"" href=""https://swagger.io/resources/articles/adopting-an-api-first-approach"">Swagger Article</a><br/><a target=""_blank"" href=""https://medium.com/adobetech/three-principles-of-api-first-design-fa6666d9f694"">Adobe Article</a>"
Standardized SonarQube Rules,adopt,techniques,FALSE,
HA/Clustering First,adopt,techniques,FALSE,
Event Driven Architecture (for system integration),adopt,techniques,FALSE,
Cattle Not Pets,adopt,techniques,FALSE,
Agile,adopt,techniques,FALSE,
Branch by Abstraction,adopt,techniques,FALSE,
Zero-Downtime,adopt,techniques,FALSE,
Cloud First,adopt,techniques,FALSE,
Infrastructure as Code,adopt,techniques,FALSE,
Technology Radar,adopt,techniques,FALSE,
REST RMM2,adopt,techniques,FALSE,
Microservices,adopt,techniques,FALSE,
Security/Penetration Testing,adopt,techniques,FALSE,
API Gateway using proxy+,adopt,techniques,FALSE,
Canary Releases,adopt,techniques,FALSE,
Reference Architecture for new AWS Projects,adopt,techniques,TRUE,"<a href=""https://bitbucket.org/ideasorg/workspace/projects/REF"">Ref Arch</a>"
Exploratory Testing,adopt,techniques,FALSE,
Test in Production,adopt,techniques,FALSE,
Reactive Programming,adopt,techniques,TRUE,
Service Mesh,trial,techniques,FALSE,"<a href=""https://www.nginx.com/blog/what-is-a-service-mesh/"">NGINX Article</a>"
Lightweight Architecture Decision Records (ADR),trial,techniques,FALSE,
Machine Learning (non-SAS),trial,techniques,FALSE,
Privacy By Design,trial,techniques,FALSE,
REST RMM3,assess,techniques,FALSE,
DesignOps,assess,techniques,FALSE,
Continuous Deployment,assess,techniques,FALSE,
GraphQL as backend services for UI and gRPC,assess,techniques,TRUE,
Reactive Programming (Client),assess,techniques,FALSE,
Domain Centric Data Storage,assess,techniques,FALSE,
Domain Driven Development,hold,techniques,FALSE,
Long Running Tests in Branch Builds,hold,techniques,FALSE,
SOAP,hold,techniques,FALSE,
PowerPoint for Requirements and UX Design,hold,techniques,FALSE,
Environment for Performance Tests,hold,techniques,FALSE,
GitHub,adopt,tools,TRUE,
IntelliJ,adopt,tools,FALSE,
vscode,adopt,tools,TRUE,
Redgate,adopt,tools,FALSE,
XRebel,adopt,tools,FALSE,
Git,adopt,tools,FALSE,
Artifactory Cloud,adopt,tools,FALSE,
Maven,adopt,tools,FALSE,
Studio 3T for MongoDB,adopt,tools,FALSE,
Mongock,adopt,tools,FALSE,
Mongo Cloud Manager (Atlas),adopt,tools,FALSE,
Microsoft Teams,adopt,tools,FALSE,
Crowdin,adopt,tools,FALSE,<a href='https://crowdin.com/'>Crowdin</a>
Commvault for Backups,adopt,tools,FALSE,<a href='https://www.commvault.com/'>Commvault</a>
SFDC for Sales and CRM,adopt,tools,FALSE,
Black Duck,adopt,tools,FALSE,
Checkmarx,adopt,tools,FALSE,
Exceed LMS,adopt,tools,FALSE,
Postman,adopt,tools,FALSE,<a href='https://www.getpostman.com/'>Postman</a>
Office 365,adopt,tools,FALSE,
"Atlassian Suite (Bitbucket, Confluence, Jira)",adopt,tools,FALSE,
Flyway for Database Migration,adopt,tools,FALSE,<a href='https://flywaydb.org/'>Flyway</a>
DataDog,adopt,tools,FALSE,
WalkMe,adopt,tools,FALSE,
Sonar Cloud,adopt,tools,FALSE,
Gradle,adopt,tools,FALSE,
Storybook,trial,tools,FALSE,
ServiceNow,trial,tools,FALSE,
AWS Backup,trial,tools,TRUE,
Web Sequence Diagrams,assess,tools,FALSE,"<ahref=""https://www.websequencediagrams.com/"">Web Sequence Diagrams</a>"
CMA for SAS,assess,tools,FALSE,
CMA II : Discoverable Apps,assess,tools,FALSE,
Bitbucket Pipelines,hold,tools,FALSE,
Mongobee for MongoDB Migrations,hold,tools,FALSE,
Ansible,hold,tools,FALSE,
Jenkins,hold,tools,FALSE,
JMeter,hold,tools,FALSE,
JRebel,hold,tools,FALSE,
CMA,hold,tools,FALSE,
SFDC for Anything But Sales,hold,tools,FALSE,Need to make a choice / provide guidance on usage for Sales vs. Customer Relationship Management vs. Client Services
Virtual SQL DB for Testing,hold,tools,FALSE,<a href='https://www.idera.com/productssolutions/sqlserver/sqlsafebackup'>SQLSafe</a>
Gerrit,hold,tools,FALSE,
